name,city,state,capacity,lat,lon
First Baptist Church Greenbrier,GREENBRIER,TN,146.0,36.42637583,-86.80467314
First Baptist Church Alexandria,ALEXANDRIA,TN,134.0,36.07690828,-86.03293793
Pajaro Middle School,WATSONVILLE,CA,448.0,36.89915841,-121.74800146
Our Lady Of The Desert Catholic Church,APPLE VALLEY,CA,312.0,34.54034465,-117.26218318000001
Wayne Highlands School District-Lakeside Elementary,HONESDALE,PA,675.0,41.55724183,-75.26938424000001
Lancaster Country Day School,LANCASTER,PA,0.0,40.05006804,-76.32901041999999
Lancaster County Career Technology Center,WILLOW STREET,PA,0.0,39.98634208,-76.2640344
MESA LINDA MIDDLE SCHOOL,VICTORVILLE,CA,265.0,34.48725767,-117.39079523
Miguel Hidalgo Elementary School,BRAWLEY,CA,2.0,32.97277239,-115.52637475
Westwood Recreation Center,Los Angeles,CA,855.0,34.05340674000001,-118.44925229
Onida City Auditorium,ONIDA,SD,160.0,44.70652369,-100.06586894
Westview Middle School,GOOSE CREEK,SC,471.0,33.00020172,-80.05589983
Athens Park (Community Building) 2 of 2,LOS ANGELES,CA,0.0,33.91889514,-118.16034509
St. Patrick's Church,LARKSPUR,CA,200.0,37.93431404,-122.53630219
ST. PAULS EPISCOPAL CHURCH,MODESTO,CA,0.0,37.66590239,-120.95747042
Stowers Elementary,CERRITOS,CA,30.0,33.87652808,-118.0475701
Shore Acres Elementary,PITTSBURG,CA,82.0,38.03618924,-121.97045776
SANTA CRUZ GARDEN ELEMENTARY,SANTA CRUZ,CA,163.0,37.00334487000001,-121.97651919
Pittsburg High,PITTSBURG,CA,300.0,38.02803239,-121.88653303
OLIVE MIDDLE SCHOOL,BALDWIN PARK,CA,422.0,34.09941605,-117.97582219
Olive Peirce Middle School,RAMONA,CA,200.0,33.02572447,-116.8687208
Olive Peirce Middle School,RAMONA,CA,350.0,33.02573347,-116.87152669
Kasson-Mantorville High School,KASSON,MN,4000.0,44.04384926,-92.74830341
Grossmont College,EL CAJON,CA,4.0,32.8149054,-117.00896108
Grossmont High School,EL CAJON,CA,800.0,32.78120781,-116.98436462000001
Old Lyme Town Hall,OLD LYME,CT,100.0,41.31687104,-72.32970737000001
Southeast High School Gym,SOUTH GATE,CA,315.0,33.94605467,-118.22262314
SOUTHERN CALIFORNIA REGIONAL OCC. CENTER,TORRANCE,CA,0.0,33.82492498,-118.32856327
Southpointe Christian School,SACRAMENTO,CA,180.0,38.4843304,-121.42352608
Southside Community Church,SACRAMENTO,CA,230.0,38.48165942,-121.37246257
Southwest High School,SAN DIEGO,CA,475.0,32.5657932,-117.08407245000001
Southwest High School,El Centro,CA,25.0,32.7773767,-115.57839154
inactive- Southwest Middle School,SAN DIEGO,CA,372.0,32.56914767,-117.0751242
Rogers Middle School,LONG BEACH,CA,308.0,33.76675683,-118.13124302000001
Piedmont Community Church,PIEDMONT,CA,235.0,37.82455179,-122.23198061
San Gorgonio Catholic Church,BEAUMONT,CA,0.0,33.94129725000001,-116.97159425000001
Mission Vista High School,OCEANSIDE,CA,4.0,33.25176007,-117.26510598
Mission High School,San Francisco,CA,1016.0,37.7613924,-122.42731335
Sd School For The Blind And Visually Impaired,ABERDEEN,SD,0.0,45.44719632,-98.48189305000001
South Pasadena Middle School Gym,SOUTH PASADENA,CA,1150.0,34.10781572,-118.15032664
New Vintage Church,SANTA ROSA,CA,0.0,38.45468875,-122.68049948000001
FIRST BAPTIST CHURCH,PARADISE,CA,350.0,39.77299592,-121.59519766
GILLETT SCHOOL DISTRICT,GILLETT,WI,0.0,44.890196,-88.307393
Gainesboro Church Of Christ,GAINESBORO,TN,54.0,36.35379155,-85.65681448000001
Gaisman,MEMPHIS,TN,300.0,35.16212691,-89.92074304
Galilee Missionary Baptist Church,NASHVILLE,TN,50.0,36.1628385,-86.8068495
"John Burroughs High School, Large Gym 1/3",BURBANK,CA,0.0,34.17051645,-118.32720529000001
First Baptist Church,SWAINSBORO,GA,500.0,32.59546184,-82.33760573
Valley View Baptist Church,LOUISVILLE,KY,252.0,38.11658863,-85.81526603
TRACY AREA PUBLIC SCHOOL,TRACT,MN,0.0,44.22412735,-95.6301429
VAN CLEVE ELEMENTARY,TROY,OH,0.0,40.03713579,-84.19722382
Al Menah Shrine Center,NASHVILLE,TN,1000.0,36.20201297,-86.77719886
Colonial Heights United Methodist Church,KINGSPORT,TN,607.0,36.4682033,-82.49915994
Lewistown Community Center,LEWISTOWN,PA,0.0,40.59949984,-77.56641458
Lewistown Intermediate School,LEWISTOWN,PA,0.0,40.5951741,-77.56654048
Licking Creek Township Building,HARRISONVILLE,PA,50.0,39.97415627,-78.10266232
San Benancio Middle School,SALINAS,CA,120.0,36.57936849,-121.72046422
UCI Anteater Recreation Center,IRVINE,CA,1500.0,33.63961968,-117.83158892
City of Gallatin Civic Center,GALLATIN,TN,483.0,36.4041356,-86.43917069
CIVIC CENTER,MC MINNVILLE,TN,150.0,35.68995699,-85.78847522
Camp Discovery,GAINESBORO,TN,375.0,36.34873736,-85.75021806000001
Sonora High School,LA HABRA,CA,1000.0,33.92833802,-117.92435399
Viewmont Elementary School,SALT LAKE CITY,UT,150.0,40.64758659,-111.91197254000001
Syracuse Junior High School,SYRACUSE,UT,150.0,41.09255315,-112.06461447
ST JOHN LUTHERAN CHURCH,Owatonna,MN,0.0,44.07042422,-93.21573305
South San Francisco High School,SOUTH SAN FRANCISCO,CA,1280.0,37.64921097,-122.42783496
Stinson Beach Community Center,STINSON BEACH,CA,104.0,37.89923149,-122.63738598
Stone Lake Elementary,ELK GROVE,CA,180.0,38.41049606,-121.45833883
Northwest Community Center,ORLANDO,FL,0.0,28.57947918,-81.4428207
Joaquin Miller Middle School,SAN JOSE,CA,215.0,37.30125429,-122.01250107
"Hollenbeck Middle School, Girl's Gym 1/3",LOS ANGELES,CA,865.0,34.03691317000001,-118.21252375
Hollencrest Middle School,WEST COVINA,CA,0.0,34.05379345,-117.90082773
HOLLISTER SCHOOL,SANTA BARBARA,CA,1.0,34.43153568,-119.79424234
ALBERT GALLATIN SOUTH MIDDLE SCHOOL,POINT MARION,PA,0.0,39.78343705,-79.91964355
ASTORIA SCHOOL DISTRICT,ASTORIA,OR,0.0,46.19147523,-123.80849212000001
Medina Community Recreation Center,MEDINA,OH,2200.0,41.14523543,-81.8461802
Disciples United Methodist Church,HOLLEY,NY,100.0,43.18903467,-78.06329899
